Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_NoSilk,1,WS2812B,
J1,Conn_3_2_SMD,1,INPUT,
J3,Conn_3_2_SMD,1,OUTPUT,
