Designator,Mid X,Mid Y,Rotation,Layer
C1,144.15,-106.075,180.0,bottom
D1,144.115,-106.085,0.0,top
J1,144.15,-107.7,90.0,bottom
J3,144.1,-104.425,90.0,bottom
